Id,SalePrice
1461,112500
1462,157900
1463,185000
1464,187000
1465,196000
1466,186500
1467,217000
1468,185000
1469,241500
1470,120500
1471,196000
1472,83000
1473,88000
1474,148500
1475,91000
1476,310000
1477,232000
1478,318000
1479,318000
1480,385000
1481,350000
1482,202500
1483,203000
1484,203000
1485,192500
1486,222500
1487,340000
1488,232000
1489,203000
1490,208900
1491,186500
1492,109500
1493,167000
1494,310000
1495,310000
1496,208900
1497,199900
1498,199900
1499,151000
1500,151000
1501,168500
1502,199900
1503,208900
1504,237000
1505,203000
1506,262500
1507,217000
1508,197900
1509,167900
1510,167000
1511,167000
1512,262500
1513,188000
1514,150000
1515,200000
1516,159000
1517,138500
1518,188000
1519,203000
1520,138500
1521,157900
1522,167000
1523,105000
1524,138500
1525,138500
1526,138500
1527,67000
1528,83000
1529,167000
1530,167000
1531,135000
1532,109500
1533,142000
1534,116000
1535,104900
1536,105000
1537,67000
1538,161000
1539,161000
1540,90000
1541,159500
1542,128500
1543,130000
1544,60000
1545,83000
1546,114500
1547,119000
1548,105000
1549,109500
1550,102000
1551,110500
1552,159500
1553,161000
1554,105000
1555,157900
1556,91000
1557,85000
1558,83000
1559,118500
1560,140000
1561,150000
1562,138500
1563,138500
1564,167000
1565,128500
1566,241500
1567,67000
1568,236000
1569,135000
1570,142000
1571,102000
1572,138500
1573,203000
1574,102000
1575,241500
1576,231500
1577,203000
1578,185000
1579,156000
1580,222500
1581,138500
1582,112500
1583,236500
1584,195000
1585,144500
1586,109500
1587,142000
1588,157900
1589,85000
1590,134000
1591,84500
1592,60000
1593,114500
1594,107500
1595,135000
1596,149000
1597,200000
1598,203000
1599,144500
1600,202500
1601,67000
1602,83000
1603,67000
1604,278000
1605,340000
1606,217000
1607,171000
1608,203000
1609,203000
1610,196500
1611,167000
1612,201000
1613,217000
1614,138500
1615,84500
1616,84500
1617,88000
1618,138500
1619,112500
1620,171000
1621,138000
1622,119500
1623,217000
1624,228500
1625,157900
1626,167000
1627,185000
1628,248000
1629,192000
1630,278000
1631,278000
1632,236500
1633,185000
1634,185000
1635,186500
1636,217000
1637,185000
1638,195000
1639,262500
1640,272000
1641,262500
1642,196500
1643,186500
1644,231500
1645,262500
1646,262500
1647,241500
1648,167000
1649,138500
1650,120500
1651,156000
1652,83000
1653,83000
1654,151000
