Id,SalePrice
1461,115000
1462,134450
1463,192000
1464,183200
1465,213500
1466,178000
1467,173000
1468,168000
1469,173000
1470,120500
1471,181000
1472,106000
1473,88000
1474,148500
1475,133000
1476,426000
1477,235128
1478,274900
1479,315000
1480,555000
1481,280000
1482,202500
1483,176485
1484,160200
1485,184100
1486,183500
1487,348000
1488,227000
1489,208300
1490,222000
1491,180000
1492,76000
1493,180000
1494,290000
1495,402000
1496,222000
1497,151000
1498,151000
1499,151000
1500,173733
1501,168500
1502,148800
1503,197000
1504,226000
1505,221000
1506,190000
1507,260000
1508,178000
1509,175000
1510,140000
1511,154000
1512,154000
1513,155000
1514,119000
1515,163500
1516,166000
1517,147000
1518,124000
1519,226000
1520,135000
1521,139000
1522,167000
1523,135000
1524,135000
1525,119500
1526,115000
1527,100000
1528,139000
1529,154000
1530,159000
1531,161500
1532,115000
1533,150750
1534,115000
1535,133000
1536,130000
1537,60000
1538,161000
1539,200000
1540,122000
1541,125500
1542,149000
1543,167500
1544,109500
1545,105000
1546,131000
1547,105000
1548,105000
1549,115000
1550,162900
1551,85000
1552,135000
1553,127000
1554,114504
1555,175000
1556,178322
1557,140000
1558,95000
1559,130000
1560,140000
1561,136500
1562,130000
1563,138500
1564,121500
1565,154000
1566,235000
1567,73000
1568,240000
1569,135000
1570,158500
1571,131000
1572,147500
1573,215000
1574,140000
1575,215000
1576,189000
1577,194500
1578,112000
1579,148000
1580,191000
1581,145000
1582,112500
1583,305900
1584,222500
1585,140000
1586,113000
1587,112000
1588,135000
1589,112000
1590,125000
1591,112000
1592,115000
1593,91000
1594,200000
1595,102000
1596,234000
1597,145000
1598,173000
1599,187500
1600,189000
1601,35311
1602,105000
1603,100000
1604,275000
1605,210000
1606,171500
1607,171000
1608,201000
1609,178000
1610,167500
1611,167500
1612,201000
1613,179000
1614,91000
1615,75000
1616,75000
1617,85000
1618,124500
1619,129500
1620,189000
1621,143000
1622,135000
1623,271000
1624,240000
1625,127500
1626,180500
1627,181000
1628,290000
